Time,Resistivity_1,Resistivity_2,Resistivity_3,Thickness_1,Thickness_2,dBdt_t1,dBdt_t2,dBdt_t3,dBdt_t4,dBdt_t5,dBdt_t6,dBdt_t7,dBdt_t8,dBdt_t9,dBdt_t10,dBdt_t11,dBdt_t12,dBdt_t13,dBdt_t14,dBdt_t15,dBdt_t16,dBdt_t17,dBdt_t18,dBdt_t19,dBdt_t20,dBdt_t21,dBdt_t22,dBdt_t23,dBdt_t24,dBdt_t25,dBdt_t26,dBdt_t27,dBdt_t28,dBdt_t29,dBdt_t30,dBdt_t31
1e-05,97.301455762229,15.26159700436672,3.1235516825032015,49.474333642562534,114.3495456878813,2.077973916266499e-09,1.6435355057594002e-09,1.2802309556767864e-09,9.850012330684158e-10,7.520223308296161e-10,6.080607877581654e-10,5.083250785754045e-10,3.9204177892734143e-10,3.1585385189800643e-10,2.389437053685739e-10,1.8993832395524527e-10,1.4668997891736552e-10,1.1378893201954429e-10,8.92596315018404e-11,7.06098732988334e-11,5.5951701384444175e-11,4.4983112552959256e-11,3.609740719847002e-11,2.8927875179417622e-11,2.3143940272495906e-11,1.8397387820946165e-11,1.5711231138882342e-11,1.2914225961804134e-11,1.0290001840961285e-11,8.169482251976575e-12,6.370087355195633e-12,4.837848673031704e-12,3.647622384253509e-12,2.747736250503146e-12,2.0681289269514517e-12,1.5488701939011587e-12
1e-05,92.47941412451722,20.89963909119677,2.8363595808685274,54.607125851590375,119.97715703762002,2.1322650105731564e-09,1.7007574745101183e-09,1.3381830590399614e-09,1.0412763038535565e-09,8.043913330824911e-10,6.554370400092457e-10,5.503648042637851e-10,4.278595714439919e-10,3.4619233897993933e-10,2.6324999689927826e-10,2.0936639157864633e-10,1.6146037512615147e-10,1.245783973678049e-10,9.68364659621647e-11,7.566749369031481e-11,5.906090758629096e-11,4.674848755410078e-11,3.690596556231063e-11,2.9107854880717944e-11,2.295438875543209e-11,1.8019703532392318e-11,1.5310796929076482e-11,1.2505064308636096e-11,9.881439596706889e-12,7.777507649754455e-12,5.9954073554513225e-12,4.480723344573162e-12,3.3063629024392968e-12,2.4233170757868985e-12,1.7646329828971224e-12,1.2716124846900096e-12
1e-05,107.73062126679477,24.3539288014053,5.710289164920336,47.28516230657949,107.23935098718248,1.9242429155238616e-09,1.5034890597982909e-09,1.161320342183524e-09,8.919271919761892e-10,6.858207770357538e-10,5.612412149278735e-10,4.755012464178175e-10,3.7553578237523904e-10,3.089459572061644e-10,2.413344853707176e-10,1.9645719743279288e-10,1.5591046162840496e-10,1.236735697752099e-10,9.840451767249591e-11,7.82761999368764e-11,6.184793127236728e-11,4.916822062022005e-11,3.8758337556980004e-11,3.033537002453004e-11,2.3601122113726367e-11,1.818341127160333e-11,1.5293082241825653e-11,1.2322738869164334e-11,9.583336557895031e-12,7.456701663553605e-12,5.6990114073452265e-12,4.246158028233739e-12,3.154551642978879e-12,2.352049799898008e-12,1.7588953062145708e-12,1.3127208818541221e-12
1e-05,110.42325997539507,17.911368043882252,3.615167094019724,45.334838623978534,106.31414393644496,1.8587437061273392e-09,1.4387659182186544e-09,1.1000135471829881e-09,8.36252273136898e-10,6.372423206644585e-10,5.192203514748004e-10,4.3945443886848123e-10,3.464542126375231e-10,2.853632579461315e-10,2.236367984763793e-10,1.8311524274849626e-10,1.4659094841925594e-10,1.1761620795922825e-10,9.485149263575244e-11,7.660108540847978e-11,6.156761577290514e-11,4.9806251284359396e-11,4.00223483107002e-11,3.198232944252028e-11,2.543421968690233e-11,2.0049626838230164e-11,1.703524636713135e-11,1.3905282353058842e-11,1.0982513486368274e-11,8.646125570745833e-12,6.679917615409703e-12,5.021584987759138e-12,3.748759021095173e-12,2.797661335962103e-12,2.0871998633006157e-12,1.549901576139617e-12
1e-05,90.64938247024907,22.722845637112552,5.471956256315059,58.918019416512436,100.9565750362047,2.193007148217775e-09,1.7684719929953787e-09,1.4095223860875896e-09,1.1119125969879042e-09,8.698469896165702e-10,7.129846166978965e-10,5.991136430538371e-10,4.663498350058609e-10,3.7594171556443696e-10,2.834544042930128e-10,2.2251432647643103e-10,1.682715427639516e-10,1.2659587519134315e-10,9.564196032287493e-11,7.254407145831386e-11,5.4935294912919554e-11,4.2362165528623877e-11,3.261253307694738e-11,2.510201813755818e-11,1.9317798598412036e-11,1.4783979167112348e-11,1.2428335305069158e-11,1.0018868971295934e-11,7.804630302264177e-12,6.1004035170809765e-12,4.695534016553247e-12,3.5367218429701363e-12,2.664717536154529e-12,2.019441903298438e-12,1.5372069188534441e-12,1.1691929592425469e-12
1e-05,98.48345315721197,15.567215638251103,6.703520575908796,54.61907288433397,90.4646907892113,2.0693160829185707e-09,1.6352307353380485e-09,1.2726456245154473e-09,9.784108860934786e-10,7.465683989399117e-10,6.035431535486479e-10,5.045822684823916e-10,3.8920234743014286e-10,3.1365190336386715e-10,2.374015661718413e-10,1.8881662010256472e-10,1.4592823706236034e-10,1.1328015589049278e-10,8.891392371824014e-11,7.036586655426849e-11,5.57721545355952e-11,4.484409402522334e-11,3.599350595350991e-11,2.8862284751304063e-11,2.3126247311025895e-11,1.8439438704667062e-11,1.5803794582470175e-11,1.3062249157969241e-11,1.0487934045487068e-11,8.403850086565132e-12,6.625342341951996e-12,5.099051762165926e-12,3.896124543664467e-12,2.968884570341131e-12,2.2534477220408467e-12,1.6951282230427795e-12
1e-05,111.83712611621453,16.816253070767353,5.900051834597562,49.520777355051976,102.70404091410447,1.9648731103665594e-09,1.5352814647064685e-09,1.1812723627241007e-09,8.986840205150725e-10,6.800546405565955e-10,5.479295071077135e-10,4.5803691788965105e-10,3.5322985356097054e-10,2.852553637922581e-10,2.168844612470699e-10,1.734849031762649e-10,1.3512876618147247e-10,1.0580949075402348e-10,8.373113701950307e-11,6.672337530210936e-11,5.317133321508943e-11,4.287931175749431e-11,3.446050451947329e-11,2.7620610523606718e-11,2.208534616999675e-11,1.754622961272039e-11,1.4997473824730615e-11,1.2348250987488496e-11,9.866235554446822e-12,7.867143693190612e-12,6.169870907192451e-12,4.722194526186112e-12,3.5909999172393837e-12,2.7269916503882305e-12,2.0660857673319454e-12,1.5542230327935729e-12
1e-05,82.77871229191778,23.004164786806122,7.614939526715125,51.670113422430006,108.28573217057823,2.210070734692755e-09,1.7804748581792744e-09,1.4165609899124036e-09,1.1152334058682971e-09,8.714053126597875e-10,7.149739565376298e-10,6.025003228042796e-10,4.713656934815424e-10,3.8252810449803016e-10,2.9180588100918816e-10,2.3196239577038832e-10,1.7849503141824186e-10,1.370330742078899e-10,1.0572888439867521e-10,8.18495732971314e-11,6.318421491992289e-11,4.94440955261232e-11,3.8539495328597126e-11,2.996848598459295e-11,2.3265159632675785e-11,1.7949782953401133e-11,1.5134970763076487e-11,1.2244017322880139e-11,9.573842293370086e-12,7.493510932297344e-12,5.765464127083202e-12,4.327892639550426e-12,3.2370190222772612e-12,2.4259766633380505e-12,1.819689965486563e-12,1.3587737595826992e-12
1e-05,98.92207639806657,22.24824345048025,8.827056248323398,58.60936467955993,90.1259271524095,2.139617823789305e-09,1.7147213865168444e-09,1.3570315410341677e-09,1.0622164407228923e-09,8.243102830734398e-10,6.720627141953549e-10,5.629213099337472e-10,4.356717749401504e-10,3.5002157025323603e-10,2.6274618200686335e-10,2.0593943128952263e-10,1.55603617465753e-10,1.1720914354565802e-10,8.884799316198113e-11,6.774170004888108e-11,5.165061137247547e-11,4.0126787946587386e-11,3.11536918453204e-11,2.420741795009089e-11,1.883034516184536e-11,1.4592015725561195e-11,1.2351654630983798e-11,1.0050524072986675e-11,7.921723168321485e-12,6.256838293320784e-12,4.866887440749382e-12,3.7028765701237765e-12,2.8098990314203705e-12,2.1367106445845475e-12,1.6254426021443618e-12,1.2301231675820644e-12
1e-05,117.4363739852929,24.6253685959462,6.965753643015017,49.45699019187922,119.35387628964192,1.948954230189729e-09,1.525308399909188e-09,1.1773483103562725e-09,9.001329399948843e-10,6.856124424663978e-10,5.552903148283774e-10,4.658810453141049e-10,3.61637490388447e-10,2.9322491924002326e-10,2.2412348259464621e-10,1.7952028970965626e-10,1.3980722434360372e-10,1.0906214429610462e-10,8.564564852606048e-11,6.747186081984098e-11,5.294814293841577e-11,4.19427955760509e-11,3.299958142633092e-11,2.5814757424851296e-11,2.009809856723309e-11,1.5516196450700927e-11,1.3081024163831442e-11,1.0579915804990641e-11,8.272203899333078e-12,6.4787161287245175e-12,4.992053395618337e-12,3.758183024237792e-12,2.8240740210596613e-12,2.1302622185853035e-12,1.611145991004003e-12,1.215353936026531e-12
